Email_ID,Sender_Email,Subject,Email_Length,Num_Links,Num_Special_Chars,Capital_Words,Has_Attachment,Spam
1,6972,3,95.0,1.0,4.0,7,0,0
2,1106,6,87.0,2.0,3.0,8,0,0
3,2212,7,69.0,0.0,3.0,8,0,0
4,3319,2,61.0,0.0,3.0,8,0,0
5,4426,3,99.0,2.0,3.0,5,0,0
6,5532,2,52.0,5.0,1.0,8,1,0
7,6639,6,186.0,5.0,14.0,10,0,1
8,6749,6,221.0,8.0,17.0,43,1,1
9,6860,6,154.0,7.0,9.0,38,0,1
10,6971,4,78.0,1.0,4.0,2,0,0
11,109,7,192.0,8.0,12.0,51,0,1
12,220,5,108.0,0.0,3.0,7,1,0
13,330,7,127.0,0.0,4.0,0,1,0
14,441,5,84.0,2.0,4.0,5,0,0
15,552,2,60.0,1.0,3.0,0,0,0
16,662,2,99.0,2.0,3.0,6,0,0
17,773,5,95.0,0.0,1.0,6,0,0
18,883,3,75.0,0.0,3.0,0,0,0
19,994,2,186.0,7.0,16.0,24,1,1
20,1105,2,99.0,0.0,4.0,0,0,0
21,1216,5,113.0,1.0,3.0,5,1,0
22,1327,2,61.0,2.0,4.0,3,0,0
23,1438,6,76.0,3.0,3.0,8,0,0
24,1548,2,198.0,4.0,12.0,25,1,1
25,1659,2,56.0,0.0,8.0,2,0,0
26,1768,4,114.0,0.0,1.0,8,0,0
27,1879,5,183.0,2.0,15.0,7,1,1
28,1990,5,83.0,1.0,1.0,2,0,0
29,2100,6,180.0,4.0,19.0,52,0,1
30,2211,2,191.0,3.0,22.0,38,1,1
31,2322,6,50.0,0.0,1.0,0,0,0
32,2433,1,185.0,1.0,13.0,36,0,1
33,2544,4,68.0,1.0,3.0,7,1,0
34,2654,5,183.0,10.0,11.0,11,0,1
35,2765,6,87.0,0.0,2.0,1,0,0
36,2875,5,64.0,1.0,1.0,8,1,0
37,2986,4,93.0,2.0,5.0,6,0,0
38,3097,6,62.0,3.0,2.0,8,1,0
